Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
41,0.2166,4.8928,0.12994,3.215,3.579,3.806,3.931,4.13,4.268,4.478,4.893,5.337,5.587,5.762,6.03,6.208,6.557,7.191
42,0.2155,4.9303,0.1296,3.243,3.61,3.838,3.964,4.163,4.302,4.514,4.93,5.376,5.628,5.804,6.073,6.252,6.603,7.239
43,0.2144,4.9674,0.12925,3.272,3.64,3.87,3.996,4.196,4.336,4.549,4.967,5.416,5.669,5.845,6.115,6.296,6.648,7.287
44,0.2133,5.0041,0.12891,3.3,3.671,3.901,4.028,4.229,4.37,4.584,5.004,5.454,5.709,5.886,6.157,6.339,6.692,7.335
45,0.2122,5.0404,0.12858,3.328,3.7,3.932,4.06,4.262,4.403,4.618,5.04,5.493,5.748,5.927,6.199,6.381,6.736,7.381
46,0.2112,5.0763,0.12825,3.356,3.73,3.963,4.091,4.294,4.436,4.652,5.076,5.531,5.787,5.966,6.24,6.423,6.78,7.427
47,0.2101,5.1118,0.12792,3.383,3.759,3.993,4.122,4.326,4.469,4.686,5.112,5.568,5.826,6.006,6.28,6.464,6.822,7.473
48,0.2091,5.1469,0.1276,3.411,3.788,4.024,4.153,4.358,4.501,4.719,5.147,5.605,5.864,6.045,6.321,6.505,6.865,7.518
49,0.2081,5.1817,0.12729,3.437,3.817,4.053,4.183,4.389,4.533,4.752,5.182,5.642,5.902,6.083,6.36,6.545,6.907,7.563
50,0.2071,5.2161,0.12698,3.464,3.846,4.083,4.213,4.42,4.565,4.784,5.216,5.678,5.939,6.121,6.4,6.585,6.948,7.607
51,0.2061,5.2501,0.12667,3.491,3.874,4.112,4.243,4.451,4.596,4.817,5.25,5.714,5.976,6.159,6.438,6.625,6.989,7.65
52,0.2052,5.2837,0.12637,3.517,3.902,4.141,4.273,4.481,4.627,4.848,5.284,5.75,6.013,6.196,6.476,6.664,7.029,7.693
53,0.2042,5.3171,0.12607,3.543,3.929,4.17,4.302,4.512,4.658,4.88,5.317,5.785,6.049,6.233,6.514,6.702,7.069,7.735
54,0.2032,5.35,0.12577,3.569,3.957,4.198,4.331,4.541,4.688,4.911,5.35,5.819,6.085,6.269,6.552,6.741,7.109,7.777
55,0.2023,5.3826,0.12548,3.594,3.984,4.226,4.359,4.571,4.718,4.942,5.383,5.854,6.12,6.305,6.589,6.778,7.148,7.818
56,0.2014,5.4149,0.1252,3.62,4.011,4.254,4.388,4.6,4.748,4.973,5.415,5.888,6.155,6.341,6.626,6.816,7.186,7.859
57,0.2005,5.4468,0.12491,3.645,4.038,4.282,4.416,4.629,4.777,5.003,5.447,5.921,6.189,6.376,6.662,6.852,7.224,7.9
58,0.1996,5.4784,0.12463,3.67,4.064,4.309,4.444,4.658,4.806,5.033,5.478,5.955,6.224,6.411,6.697,6.889,7.262,7.94
59,0.1987,5.5097,0.12436,3.694,4.09,4.336,4.471,4.686,4.835,5.063,5.51,5.988,6.257,6.446,6.733,6.925,7.299,7.979
60,0.1978,5.5407,0.12409,3.719,4.116,4.363,4.499,4.714,4.864,5.092,5.541,6.02,6.291,6.48,6.768,6.961,7.336,8.018
61,0.1969,5.5714,0.12382,3.743,4.142,4.39,4.526,4.742,4.892,5.121,5.571,6.053,6.324,6.514,6.803,6.996,7.373,8.057
62,0.196,5.6018,0.12356,3.767,4.167,4.416,4.553,4.769,4.92,5.15,5.602,6.085,6.357,6.547,6.837,7.031,7.409,8.095
63,0.1952,5.6319,0.1233,3.791,4.192,4.442,4.579,4.797,4.948,5.179,5.632,6.116,6.39,6.58,6.871,7.066,7.445,8.133
64,0.1943,5.6617,0.12304,3.814,4.217,4.468,4.606,4.824,4.976,5.207,5.662,6.148,6.422,6.613,6.905,7.1,7.48,8.171
65,0.1935,5.6912,0.12279,3.837,4.242,4.494,4.632,4.851,5.003,5.235,5.691,6.179,6.454,6.645,6.938,7.134,7.515,8.208
66,0.1926,5.7205,0.12254,3.861,4.267,4.519,4.658,4.877,5.03,5.263,5.721,6.209,6.485,6.678,6.971,7.168,7.55,8.245
67,0.1918,5.7494,0.12229,3.884,4.291,4.544,4.683,4.904,5.057,5.291,5.749,6.24,6.516,6.709,7.004,7.201,7.584,8.281
68,0.191,5.7781,0.12205,3.906,4.315,4.569,4.709,4.93,5.084,5.318,5.778,6.27,6.547,6.741,7.036,7.234,7.618,8.317
69,0.1902,5.8065,0.12181,3.929,4.339,4.594,4.734,4.956,5.11,5.345,5.807,6.3,6.578,6.772,7.068,7.266,7.652,8.352
70,0.1894,5.8346,0.12157,3.951,4.363,4.618,4.759,4.981,5.136,5.372,5.835,6.329,6.608,6.803,7.1,7.298,7.685,8.387
71,0.1886,5.8625,0.12134,3.974,4.386,4.643,4.783,5.007,5.162,5.398,5.863,6.359,6.638,6.834,7.131,7.33,7.718,8.422
72,0.1878,5.8901,0.12111,3.996,4.41,4.667,4.808,5.032,5.187,5.425,5.89,6.387,6.668,6.864,7.162,7.362,7.751,8.457
73,0.187,5.9174,0.12088,4.018,4.433,4.691,4.832,5.057,5.213,5.451,5.917,6.416,6.698,6.894,7.193,7.393,7.783,8.491
74,0.1863,5.9445,0.12066,4.039,4.456,4.714,4.856,5.081,5.238,5.476,5.945,6.445,6.727,6.923,7.224,7.424,7.815,8.525
75,0.1855,5.9713,0.12044,4.06,4.478,4.738,4.88,5.106,5.263,5.502,5.971,6.473,6.756,6.953,7.254,7.455,7.847,8.558
76,0.1847,5.9979,0.12022,4.082,4.501,4.761,4.904,5.13,5.288,5.527,5.998,6.501,6.784,6.982,7.284,7.485,7.878,8.591
77,0.184,6.0242,0.12001,4.103,4.523,4.784,4.927,5.154,5.312,5.552,6.024,6.528,6.813,7.011,7.313,7.515,7.909,8.624
78,0.1832,6.0503,0.1198,4.124,4.545,4.807,4.95,5.178,5.336,5.577,6.05,6.556,6.841,7.039,7.343,7.545,7.94,8.656
79,0.1825,6.0762,0.11959,4.144,4.567,4.829,4.973,5.201,5.36,5.602,6.076,6.583,6.868,7.068,7.372,7.575,7.971,8.689
80,0.1818,6.1018,0.11939,4.165,4.589,4.852,4.996,5.225,5.384,5.626,6.102,6.61,6.896,7.096,7.4,7.604,8.001,8.721
81,0.181,6.1272,0.11918,4.185,4.61,4.874,5.019,5.248,5.408,5.651,6.127,6.636,6.923,7.124,7.429,7.633,8.031,8.752
82,0.1803,6.1523,0.11899,4.205,4.631,4.896,5.041,5.271,5.431,5.674,6.152,6.663,6.95,7.151,7.457,7.662,8.06,8.783
83,0.1796,6.1772,0.11879,4.225,4.653,4.918,5.063,5.294,5.454,5.698,6.177,6.689,6.977,7.178,7.485,7.69,8.09,8.814
84,0.1789,6.2019,0.1186,4.245,4.674,4.939,5.085,5.316,5.477,5.722,6.202,6.715,7.004,7.205,7.513,7.718,8.119,8.845
85,0.1782,6.2264,0.11841,4.265,4.694,4.961,5.107,5.339,5.5,5.745,6.226,6.74,7.03,7.232,7.54,7.746,8.148,8.875
86,0.1775,6.2507,0.11822,4.284,4.715,4.982,5.128,5.361,5.522,5.768,6.251,6.766,7.056,7.259,7.568,7.774,8.176,8.905
87,0.1768,6.2748,0.11803,4.304,4.735,5.003,5.15,5.383,5.545,5.791,6.275,6.791,7.082,7.285,7.595,7.801,8.204,8.935
88,0.1761,6.2986,0.11785,4.323,4.756,5.024,5.171,5.405,5.567,5.814,6.299,6.816,7.108,7.311,7.621,7.828,8.232,8.965
89,0.1754,6.3223,0.11767,4.342,4.776,5.045,5.192,5.426,5.589,5.837,6.322,6.841,7.133,7.337,7.648,7.855,8.26,8.994
90,0.1747,6.3457,0.1175,4.361,4.796,5.065,5.213,5.448,5.611,5.859,6.346,6.865,7.158,7.363,7.674,7.882,8.288,9.023
91,0.174,6.369,0.11732,4.38,4.815,5.086,5.234,5.469,5.632,5.881,6.369,6.89,7.183,7.388,7.7,7.909,8.315,9.052
92,0.1734,6.3921,0.11715,4.398,4.835,5.106,5.254,5.49,5.654,5.903,6.392,6.914,7.208,7.413,7.726,7.935,8.342,9.081
93,0.1727,6.4149,0.11698,4.417,4.854,5.126,5.275,5.511,5.675,5.925,6.415,6.938,7.233,7.438,7.752,7.961,8.369,9.109
94,0.172,6.4376,0.11682,4.435,4.874,5.146,5.295,5.532,5.696,5.947,6.438,6.962,7.257,7.463,7.777,7.987,8.396,9.138
95,0.1714,6.4601,0.11666,4.453,4.893,5.165,5.315,5.552,5.717,5.968,6.46,6.985,7.281,7.488,7.803,8.013,8.423,9.166
96,0.1707,6.4824,0.11649,4.471,4.912,5.185,5.335,5.573,5.738,5.989,6.482,7.009,7.305,7.512,7.827,8.038,8.449,9.193
97,0.1701,6.5046,0.11634,4.489,4.93,5.204,5.355,5.593,5.759,6.011,6.505,7.032,7.329,7.536,7.852,8.063,8.475,9.221
98,0.1694,6.5265,0.11618,4.506,4.949,5.224,5.374,5.613,5.779,6.031,6.527,7.055,7.353,7.56,7.877,8.088,8.501,9.248
99,0.1688,6.5483,0.11603,4.524,4.968,5.243,5.394,5.633,5.799,6.052,6.548,7.078,7.376,7.584,7.901,8.113,8.526,9.275
100,0.1682,6.5699,0.11588,4.541,4.986,5.262,5.413,5.653,5.819,6.073,6.57,7.1,7.399,7.608,7.926,8.138,8.552,9.302
101,0.1675,6.5914,0.11573,4.558,5.004,5.281,5.432,5.672,5.839,6.093,6.591,7.123,7.423,7.631,7.95,8.163,8.577,9.329
102,0.1669,6.6126,0.11558,4.576,5.022,5.299,5.451,5.692,5.859,6.114,6.613,7.145,7.445,7.655,7.974,8.187,8.602,9.355
103,0.1663,6.6338,0.11544,4.592,5.04,5.318,5.47,5.711,5.879,6.134,6.634,7.167,7.468,7.678,7.997,8.211,8.627,9.381
104,0.1657,6.6547,0.1153,4.609,5.058,5.336,5.488,5.73,5.898,6.154,6.655,7.189,7.491,7.701,8.021,8.235,8.652,9.407
105,0.1651,6.6755,0.11516,4.626,5.076,5.354,5.507,5.749,5.917,6.174,6.676,7.211,7.513,7.723,8.044,8.259,8.676,9.433
106,0.1644,6.6962,0.11502,4.643,5.093,5.372,5.525,5.768,5.937,6.193,6.696,7.233,7.535,7.746,8.068,8.282,8.701,9.459
107,0.1638,6.7166,0.11489,4.659,5.11,5.39,5.543,5.787,5.956,6.213,6.717,7.254,7.557,7.768,8.091,8.306,8.725,9.485
108,0.1632,6.737,0.11476,4.675,5.128,5.408,5.562,5.805,5.975,6.232,6.737,7.276,7.579,7.791,8.113,8.329,8.749,9.51
109,0.1626,6.7572,0.11463,4.692,5.145,5.426,5.58,5.824,5.993,6.251,6.757,7.297,7.601,7.813,8.136,8.352,8.773,9.535
110,0.162,6.7772,0.1145,4.708,5.162,5.443,5.597,5.842,6.012,6.27,6.777,7.318,7.623,7.835,8.159,8.375,8.796,9.56
111,0.1614,6.7971,0.11438,4.724,5.179,5.461,5.615,5.86,6.03,6.289,6.797,7.339,7.644,7.857,8.181,8.398,8.82,9.585
112,0.1609,6.8168,0.11425,4.739,5.195,5.478,5.633,5.878,6.049,6.308,6.817,7.359,7.665,7.878,8.203,8.42,8.843,9.61
113,0.1603,6.8365,0.11413,4.755,5.212,5.495,5.65,5.896,6.067,6.327,6.837,7.38,7.686,7.9,8.225,8.443,8.867,9.635
114,0.1597,6.8559,0.11401,4.771,5.228,5.512,5.667,5.914,6.085,6.345,6.856,7.4,7.707,7.921,8.247,8.465,8.89,9.659
115,0.1591,6.8753,0.1139,4.786,5.245,5.529,5.684,5.931,6.103,6.364,6.875,7.421,7.728,7.943,8.269,8.487,8.913,9.683
116,0.1585,6.8945,0.11378,4.802,5.261,5.546,5.702,5.949,6.121,6.382,6.895,7.441,7.749,7.964,8.291,8.509,8.935,9.707
117,0.158,6.9135,0.11367,4.817,5.277,5.562,5.718,5.966,6.138,6.4,6.914,7.461,7.769,7.984,8.312,8.531,8.958,9.731
118,0.1574,6.9325,0.11356,4.832,5.293,5.579,5.735,5.983,6.156,6.418,6.933,7.481,7.79,8.005,8.334,8.553,8.981,9.755
119,0.1568,6.9513,0.11345,4.847,5.309,5.595,5.752,6.001,6.173,6.436,6.951,7.501,7.81,8.026,8.355,8.575,9.003,9.779
120,0.1563,6.9699,0.11334,4.862,5.325,5.611,5.768,6.018,6.191,6.454,6.97,7.52,7.83,8.046,8.376,8.596,9.025,9.802
121,0.1557,6.9885,0.11324,4.877,5.34,5.628,5.785,6.034,6.208,6.472,6.989,7.54,7.85,8.067,8.397,8.617,9.047,9.826
122,0.1551,7.0069,0.11313,4.891,5.356,5.644,5.801,6.051,6.225,6.489,7.007,7.559,7.87,8.087,8.418,8.639,9.069,9.849
123,0.1546,7.0252,0.11303,4.906,5.371,5.66,5.817,6.068,6.242,6.507,7.025,7.578,7.89,8.107,8.438,8.66,9.091,9.872
124,0.154,7.0434,0.11293,4.92,5.387,5.675,5.834,6.084,6.259,6.524,7.043,7.597,7.91,8.127,8.459,8.681,9.112,9.895
125,0.1535,7.0615,0.11283,4.935,5.402,5.691,5.85,6.101,6.276,6.541,7.062,7.617,7.929,8.147,8.48,8.701,9.134,9.918
126,0.1529,7.0794,0.11274,4.949,5.417,5.707,5.865,6.117,6.292,6.558,7.079,7.635,7.949,8.167,8.5,8.722,9.155,9.941
127,0.1524,7.0972,0.11265,4.963,5.432,5.722,5.881,6.133,6.308,6.575,7.097,7.654,7.968,8.187,8.52,8.743,9.177,9.963
128,0.1519,7.1149,0.11255,4.977,5.447,5.738,5.897,6.149,6.325,6.592,7.115,7.673,7.987,8.206,8.54,8.763,9.198,9.985
129,0.1513,7.1325,0.11246,4.991,5.461,5.753,5.912,6.165,6.341,6.609,7.133,7.691,8.006,8.225,8.56,8.783,9.219,10.008
130,0.1508,7.15,0.11237,5.005,5.476,5.768,5.928,6.181,6.357,6.625,7.15,7.71,8.025,8.245,8.58,8.804,9.24,10.03
131,0.1502,7.1674,0.11229,5.019,5.491,5.783,5.943,6.197,6.373,6.642,7.167,7.728,8.044,8.264,8.6,8.824,9.261,10.052
132,0.1497,7.1846,0.1122,5.032,5.505,5.798,5.958,6.213,6.389,6.658,7.185,7.746,8.063,8.283,8.619,8.844,9.281,10.074
133,0.1492,7.2018,0.11212,5.046,5.52,5.813,5.973,6.228,6.405,6.674,7.202,7.764,8.081,8.302,8.639,8.864,9.302,10.096
134,0.1487,7.2188,0.11204,5.059,5.534,5.828,5.988,6.244,6.421,6.691,7.219,7.782,8.1,8.321,8.658,8.883,9.322,10.118
135,0.1481,7.2357,0.11196,5.073,5.548,5.842,6.003,6.259,6.436,6.707,7.236,7.8,8.118,8.34,8.677,8.903,9.343,10.139
136,0.1476,7.2525,0.11188,5.086,5.562,5.857,6.018,6.274,6.452,6.723,7.253,7.818,8.136,8.358,8.696,8.922,9.363,10.161
137,0.1471,7.2692,0.1118,5.099,5.576,5.871,6.033,6.289,6.467,6.738,7.269,7.835,8.154,8.377,8.715,8.942,9.383,10.182
138,0.1466,7.2858,0.11172,5.112,5.59,5.886,6.047,6.304,6.483,6.754,7.286,7.853,8.172,8.395,8.734,8.961,9.403,10.203
139,0.1461,7.3023,0.11165,5.125,5.604,5.9,6.062,6.319,6.498,6.77,7.302,7.87,8.19,8.413,8.753,8.98,9.423,10.225
140,0.1456,7.3187,0.11158,5.138,5.617,5.914,6.076,6.334,6.513,6.785,7.319,7.888,8.208,8.431,8.772,8.999,9.443,10.246
141,0.1451,7.335,0.1115,5.151,5.631,5.928,6.091,6.349,6.528,6.801,7.335,7.905,8.226,8.449,8.79,9.018,9.462,10.266
142,0.1446,7.3512,0.11143,5.164,5.644,5.942,6.105,6.363,6.543,6.816,7.351,7.922,8.243,8.467,8.809,9.037,9.482,10.287
143,0.1441,7.3673,0.11137,5.176,5.658,5.956,6.119,6.378,6.558,6.831,7.367,7.939,8.261,8.485,8.827,9.056,9.501,10.308
144,0.1436,7.3833,0.1113,5.189,5.671,5.97,6.133,6.392,6.573,6.847,7.383,7.956,8.278,8.503,8.846,9.075,9.52,10.329
145,0.1431,7.3992,0.11123,5.201,5.684,5.983,6.147,6.407,6.587,6.862,7.399,7.972,8.296,8.521,8.864,9.093,9.54,10.349
146,0.1426,7.415,0.11117,5.214,5.697,5.997,6.161,6.421,6.602,6.877,7.415,7.989,8.313,8.538,8.882,9.111,9.559,10.37
147,0.1421,7.4307,0.11111,5.226,5.71,6.01,6.175,6.435,6.616,6.891,7.431,8.006,8.33,8.556,8.9,9.13,9.578,10.39
148,0.1416,7.4463,0.11104,5.238,5.723,6.024,6.188,6.449,6.631,6.906,7.446,8.022,8.347,8.573,8.918,9.148,9.597,10.41
149,0.1411,7.4618,0.11098,5.25,5.736,6.037,6.202,6.463,6.645,6.921,7.462,8.039,8.364,8.59,8.935,9.166,9.616,10.43
150,0.1406,7.4772,0.11092,5.262,5.749,6.05,6.215,6.477,6.659,6.935,7.477,8.055,8.38,8.607,8.953,9.184,9.634,10.45
151,0.1401,7.4925,0.11087,5.274,5.762,6.063,6.229,6.491,6.673,6.95,7.493,8.071,8.397,8.624,8.971,9.202,9.653,10.47
152,0.1396,7.5077,0.11081,5.286,5.774,6.076,6.242,6.504,6.687,6.964,7.508,8.087,8.414,8.641,8.988,9.22,9.671,10.49
153,0.1391,7.5228,0.11075,5.298,5.787,6.089,6.255,6.518,6.701,6.979,7.523,8.103,8.43,8.658,9.006,9.238,9.69,10.51
154,0.1387,7.5379,0.1107,5.309,5.799,6.102,6.268,6.532,6.715,6.993,7.538,8.119,8.447,8.675,9.023,9.255,9.708,10.529
155,0.1382,7.5528,0.11065,5.321,5.811,6.115,6.281,6.545,6.728,7.007,7.553,8.135,8.463,8.692,9.04,9.273,9.727,10.549
156,0.1377,7.5677,0.11059,5.333,5.824,6.128,6.294,6.558,6.742,7.021,7.568,8.151,8.479,8.708,9.057,9.29,9.745,10.568
157,0.1372,7.5824,0.11054,5.344,5.836,6.14,6.307,6.572,6.755,7.035,7.582,8.166,8.495,8.724,9.074,9.308,9.763,10.587
158,0.1368,7.5971,0.11049,5.355,5.848,6.153,6.32,6.585,6.769,7.049,7.597,8.182,8.511,8.741,9.091,9.325,9.78,10.607
159,0.1363,7.6117,0.11044,5.367,5.86,6.166,6.333,6.598,6.782,7.063,7.612,8.197,8.527,8.757,9.108,9.342,9.798,10.626
160,0.1358,7.6262,0.1104,5.378,5.872,6.178,6.345,6.611,6.796,7.076,7.626,8.213,8.543,8.773,9.125,9.359,9.816,10.645
161,0.1354,7.6406,0.11035,5.389,5.884,6.19,6.358,6.624,6.809,7.09,7.641,8.228,8.559,8.79,9.141,9.376,9.834,10.664
162,0.1349,7.655,0.11031,5.4,5.896,6.202,6.37,6.637,6.822,7.103,7.655,8.243,8.575,8.806,9.158,9.393,9.852,10.683
163,0.1344,7.6692,0.11026,5.411,5.907,6.215,6.383,6.65,6.835,7.117,7.669,8.258,8.59,8.821,9.174,9.41,9.869,10.701
164,0.134,7.6834,0.11022,5.422,5.919,6.227,6.395,6.662,6.848,7.13,7.683,8.273,8.606,8.837,9.191,9.427,9.886,10.72
165,0.1335,7.6975,0.11018,5.433,5.93,6.239,6.407,6.675,6.861,7.144,7.698,8.288,8.621,8.853,9.207,9.443,9.904,10.739
166,0.1331,7.7115,0.11013,5.444,5.942,6.251,6.42,6.687,6.874,7.157,7.712,8.303,8.636,8.869,9.223,9.46,9.921,10.757
167,0.1326,7.7255,0.11009,5.454,5.953,6.262,6.432,6.7,6.886,7.17,7.726,8.318,8.652,8.885,9.239,9.476,9.938,10.776
168,0.1322,7.7394,0.11005,5.465,5.965,6.274,6.444,6.712,6.899,7.183,7.739,8.333,8.667,8.9,9.255,9.493,9.955,10.794
169,0.1317,7.7532,0.11002,5.475,5.976,6.286,6.456,6.725,6.912,7.196,7.753,8.347,8.682,8.916,9.272,9.509,9.973,10.812
170,0.1313,7.7669,0.10998,5.486,5.987,6.298,6.467,6.737,6.924,7.209,7.767,8.362,8.697,8.931,9.287,9.525,9.989,10.831
171,0.1308,7.7805,0.10994,5.496,5.998,6.309,6.479,6.749,6.937,7.222,7.781,8.376,8.712,8.946,9.303,9.541,10.006,10.849
172,0.1304,7.7941,0.10991,5.507,6.009,6.321,6.491,6.761,6.949,7.235,7.794,8.391,8.727,8.962,9.319,9.558,10.023,10.867
173,0.1299,7.8076,0.10987,5.517,6.02,6.332,6.503,6.773,6.961,7.247,7.808,8.405,8.742,8.977,9.335,9.574,10.04,10.885
174,0.1295,7.821,0.10984,5.527,6.031,6.343,6.514,6.785,6.974,7.26,7.821,8.419,8.757,8.992,9.35,9.59,10.056,10.903
175,0.129,7.8344,0.1098,5.538,6.042,6.355,6.526,6.797,6.986,7.273,7.834,8.434,8.771,9.007,9.366,9.605,10.073,10.92
176,0.1286,7.8477,0.10977,5.548,6.053,6.366,6.537,6.809,6.998,7.285,7.848,8.448,8.786,9.022,9.381,9.621,10.089,10.938
177,0.1282,7.8609,0.10974,5.558,6.064,6.377,6.549,6.821,7.01,7.297,7.861,8.462,8.801,9.037,9.397,9.637,10.106,10.956
178,0.1277,7.8741,0.10971,5.568,6.075,6.388,6.56,6.833,7.022,7.31,7.874,8.476,8.815,9.052,9.412,9.653,10.122,10.973
179,0.1273,7.8871,0.10968,5.578,6.085,6.399,6.571,6.844,7.034,7.322,7.887,8.49,8.829,9.066,9.427,9.668,10.138,10.991
